Node Name,Node CPUs,Node RAM,Dataset,Stage 1 Time,Stage 1 Removed Columns,Stage 1 Qty of Removed Rows,Stage 2 Time,Stage 2 Encoded Columns,Stage 3 Time,Stage 3 Results,Stage 4 Time,Stage 5 Time,Stage 5 Best Model Name,Stage 5 Best Model Params
Node 2,2,16,DeepSlice,0.06447768541402184,['no'],0,0.0691311136004515,"['Use Case', 'Technology Supported', 'Day', 'GBR', 'slice Type']",0.14628589470521547,"{'attr_to_inst': 0.0001266484081878196, 'cat_to_num': 0.0, 'freq_class.mean': np.float64(0.3333333333333333), 'freq_class.sd': 0.17197025843878622, 'inst_to_attr': 7895.875, 'nr_attr': 8, 'nr_bin': np.int64(2), 'nr_cat': 0, 'nr_class': 3, 'nr_inst': 63167, 'nr_num': 8, 'num_to_cat': nan}",43.39082600854452,0.04667494310997426,RidgeClassifier,{'alpha': 0.1}
Node 2,2,16,NSR,0.013465188007103277,[],22625,0.0014004500000737606,[],0.04385162339312956,"{'attr_to_inst': 0.0017861129716454567, 'cat_to_num': 0.0, 'freq_class.mean': np.float64(0.3333333333333333), 'freq_class.sd': 0.17266459619877264, 'inst_to_attr': 559.875, 'nr_attr': 16, 'nr_bin': np.int64(12), 'nr_cat': 0, 'nr_class': 3, 'nr_inst': 8958, 'nr_num': 16, 'num_to_cat': nan}",12.105786173517112,0.031156785506755116,RidgeClassifier,{'alpha': 0.1}
Node 2,2,16,IoT-APD,0.010887835605535657,['second'],0,0.006778254912933334,[],0.052555224212119354,"{'attr_to_inst': 0.0013831258644536654, 'cat_to_num': 0.0, 'freq_class.mean': np.float64(0.2), 'freq_class.sd': 0.021035339179479796, 'inst_to_attr': 723.0, 'nr_attr': 15, 'nr_bin': np.int64(1), 'nr_cat': 0, 'nr_class': 5, 'nr_inst': 10845, 'nr_num': 15, 'num_to_cat': nan}",65.88115407450822,0.12380225140950642,RandomForest,{'n_estimators': 200}
Node 2,2,16,UNAC,0.004525754787027835,['file'],7,0.009171428886475042,[],0.00998730707797222,"{'attr_to_inst': 0.0549738219895288, 'cat_to_num': 0.0, 'freq_class.mean': np.float64(0.3333333333333333), 'freq_class.sd': 0.4007316755045387, 'inst_to_attr': 18.19047619047619, 'nr_attr': 21, 'nr_bin': np.int64(0), 'nr_cat': 0, 'nr_class': 3, 'nr_inst': 382, 'nr_num': 21, 'num_to_cat': nan}",3.1313684294873383,0.014766517787938934,RandomForest,{'n_estimators': 50}
Node 2,2,16,KPI-KQI,0.0025863743911031635,[],0,0.009547124709933998,['Service'],0.006555178307462483,"{'attr_to_inst': 0.07878787878787878, 'cat_to_num': 0.0, 'freq_class.mean': np.float64(0.1111111111111111), 'freq_class.sd': 0.022268088570756163, 'inst_to_attr': 12.692307692307692, 'nr_attr': 13, 'nr_bin': np.int64(0), 'nr_cat': 0, 'nr_class': 9, 'nr_inst': 165, 'nr_num': 13, 'num_to_cat': nan}",3.830538110021735,0.017812351102475078,RandomForest,{'n_estimators': 50}
