Node Name,Node CPUs,Node RAM,Dataset,Stage 1 Time,Stage 1 Removed Columns,Stage 1 Qty of Removed Rows,Stage 2 Time,Stage 2 Encoded Columns,Stage 3 Time,Stage 3 Results,Stage 4 Time,Stage 5 Time,Stage 5 Best Model Name,Stage 5 Best Model Params
Node 3,8,1,DeepSlice,0.07735350750044746,['no'],0,0.07183883449979478,"['Use Case', 'Technology Supported', 'Day', 'GBR', 'slice Type']",0.17285757060089962,"{'attr_to_inst': 0.0001266484081878196, 'cat_to_num': 0.0, 'freq_class.mean': np.float64(0.3333333333333333), 'freq_class.sd': 0.17197025843878622, 'inst_to_attr': 7895.875, 'nr_attr': 8, 'nr_bin': np.int64(2), 'nr_cat': 0, 'nr_class': 3, 'nr_inst': 63167, 'nr_num': 8, 'num_to_cat': nan}",75.77793416849816,0.04506592380057555,RidgeClassifier,{'alpha': 0.1}
Node 3,8,1,NSR,0.01311941820058564,[],22625,0.0015546034013823372,[],0.046113123899704074,"{'attr_to_inst': 0.0017861129716454567, 'cat_to_num': 0.0, 'freq_class.mean': np.float64(0.3333333333333333), 'freq_class.sd': 0.17266459619877264, 'inst_to_attr': 559.875, 'nr_attr': 16, 'nr_bin': np.int64(12), 'nr_cat': 0, 'nr_class': 3, 'nr_inst': 8958, 'nr_num': 16, 'num_to_cat': nan}",20.777181365498105,0.021428579799248837,RidgeClassifier,{'alpha': 0.1}
Node 3,8,1,IoT-APD,0.007970366899098734,['second'],0,0.0062968906993774,[],0.05806348689766309,"{'attr_to_inst': 0.0013831258644536654, 'cat_to_num': 0.0, 'freq_class.mean': np.float64(0.2), 'freq_class.sd': 0.021035339179479796, 'inst_to_attr': 723.0, 'nr_attr': 15, 'nr_bin': np.int64(1), 'nr_cat': 0, 'nr_class': 5, 'nr_inst': 10845, 'nr_num': 15, 'num_to_cat': nan}",121.43182970249833,0.13263045040112048,RandomForest,{'n_estimators': 200}
Node 3,8,1,UNAC,0.00443797650077613,['file'],7,0.008650595000653993,[],0.010546364599940716,"{'attr_to_inst': 0.0549738219895288, 'cat_to_num': 0.0, 'freq_class.mean': np.float64(0.3333333333333333), 'freq_class.sd': 0.4007316755045387, 'inst_to_attr': 18.19047619047619, 'nr_attr': 21, 'nr_bin': np.int64(0), 'nr_cat': 0, 'nr_class': 3, 'nr_inst': 382, 'nr_num': 21, 'num_to_cat': nan}",4.803639151501557,0.01600305339998158,RandomForest,{'n_estimators': 50}
Node 3,8,1,KPI-KQI,0.002421149000656442,[],0,0.008951581599831115,['Service'],0.00671199290009099,"{'attr_to_inst': 0.07878787878787878, 'cat_to_num': 0.0, 'freq_class.mean': np.float64(0.1111111111111111), 'freq_class.sd': 0.022268088570756163, 'inst_to_attr': 12.692307692307692, 'nr_attr': 13, 'nr_bin': np.int64(0), 'nr_cat': 0, 'nr_class': 9, 'nr_inst': 165, 'nr_num': 13, 'num_to_cat': nan}",6.4107064090003405,0.015258392000396269,RandomForest,{'n_estimators': 50}
